msaname,msaid,year,qtr,hpi,se,pchya
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1976,1,19.88,-0.2,NA
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1977,1,24.55,-0.23,23.490945674044283
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1978,1,29.32,-0.26,19.429735234215897
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1979,1,33.74,-0.25,15.07503410641202
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1980,1,42.56,-0.38,26.141078838174266
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1981,1,45.47,-0.6,6.837406015037601
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1982,1,44.47,-0.63,-2.1992522542335564
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1983,1,48.79,-0.38,9.714414211828199
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1984,1,50.22,-0.36,2.930928468948551
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1985,1,53.84,-0.33,7.208283552369579
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1986,1,59.07,-0.32,9.713967310549762
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1987,1,68.33,-0.35,15.676316234975445
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1988,1,82.47,-0.49,20.693692375237816
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1989,1,102.64,-0.65,24.457378440645087
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1990,1,114.29,-0.63,11.350350740452072
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1991,1,107.68,-0.55,-5.783533117508085
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1992,1,106.12,-0.51,-1.4487369985141214
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1993,1,102.93,-0.5,-3.0060309084055774
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1994,1,101.38,-0.49,-1.5058777810162383
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1995,1,100,0,-1.3612152298283604
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1996,1,100.81,-0.51,0.8100000000000023
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1997,1,104.98,-0.56,4.136494395397293
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1998,1,117.32,-0.56,11.754619927605248
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,1999,1,130.99,-0.64,11.651892260484146
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2000,1,159.06,-0.93,21.429116726467655
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2001,1,190.46,-0.95,19.740978247202307
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2002,1,195.5,-0.93,2.646224929118972
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2003,1,208.97,-0.98,6.890025575447581
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2004,1,223,-1.08,6.713882375460599
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2005,1,267.05,-1.44,19.753363228699556
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2006,1,305.91,-1.78,14.5515821007302
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2007,1,306.77,-1.68,0.2811284364682365
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2008,1,291.33,-1.44,-5.033086677315254
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2009,1,261.62,-1.25,-10.198057186008995
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2010,1,248.11,-1.2,-5.163978289121616
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2011,1,241.34,-1.18,-2.7286284309379027
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2012,1,238.22,-1.14,-1.2927819673489722
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2013,1,261.23,-1.27,9.659138611367652
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2014,1,305.91,-1.65,17.103701718791882
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2015,1,339.18,-1.74,10.87574776895164
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2016,1,387.01,-2.07,14.101656937319419
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2017,1,412.47,-2.57,6.578641378775757
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2018,1,448.97,-3.36,8.849128421460946
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",41884,2019,1,467.5,-4.04,4.12722453616054
